,place_A,why_A,story_A,place_B,why_B,story_B,empathy
1759,CHURCH,"THIS IS A CHURCH AND I DO NOT TAKE MY SPIRITUALITY LIGHTLY, I SPEND MY TIME HERE CLEANING, PRAYING AND WORSHIPING GOD AND ALSO ASSISTING PEOPLE. THIS IS MY SAFE SPACE BECAUSE I GET TO SPEAK TO GOD ALL THE TIME","THIS WILL BE AN UNBELIEVER , THERE PERSON MIGHT NOT HAVE THE FULL UNDERSTANDING OF HOW SAFE THIS PLACE IS TO ME AND MIGHT THINK THAT THERE SHOULD BE AN IMPROVEMENT BUT THAT IS NOT NEEDED",The correctional facility in my states capital. Close to where I live (sorry the name is in photo.,"I'm no expert in this matter at all you know what the best safety measures inside Crescent Valley would be but I just feel like we don't have access to the best cutting edge technology and safety features living in a more rural area. So the best cutting edge technology, weapons etc that they may need inside for themselves and the inmates. Also more trained guards, especially the number of inmates to guard ratio. They are short staffed like many of these places and that can be a dangerous combo.",I think what makes me feel this way is we live in a more rural area and I feel like especially a correctional facility safety could always be improved there's nothing particular like a riot or anything like that this made me feel this way. They're short staffed like many of these places are. This is a ace where safety always needs to be improved especially since it's pretty local to me it's not very far from where I live. I feel like security isn't as straightforward is it should be being a smaller facility.,43
1760,Outskirt of Eldoria,"I feel safe in my community because of the strong sense of familiarity and trust among the residents. One particular instance that stands out is when my neighbor noticed some suspicious activity around my home while I was away on vacation. Without hesitation, they alerted the local neighborhood watch, and my other neighbors kept a lookout until I returned, ensuring the security of my property. This experience exemplified the close-knit bonds and watchful eyes that contribute to my sense of safety here.","Improve street lighting in dimly lit areas to increase visibility and deter potential criminal activity.Establish a network of support for vulnerable individuals, such as seniors or newcomers, to ensure they have resources and assistance readily available.",This is a street on my neighbor and my neighborhood that connects the neighborhood to a large Evergreen Park in The Maplewood system.,"The park and Maplewood system are very close to where I live. It is an extensive network and a very large park. People from all over the city use these spaces. Because parking is scarce I make a habit of walking from my house when I want to use the park or the greenway. It's only a 5-minute walk. Unfortunately, people drive too fast on the street that I walk on. Cars often slow down and honk at women or gawk. Sometimes there is visible drug dealing. There are also homeless people who are sometimes passed out on the sidewalk or experiencing psychosis. Sometimes there is a lot of trash. It feels both unsafe because of the traffic and also unsafe because of the unsheltered homeless people who are unwell and occupy the space.",This space could be more safe with traffic calming measures. The speed limit is only 25 but cars regularly go very very fast and even race on the street. There's also a need for more cleanup efforts to get rid of needles and garbage on the side of the road. There are no easy answers to unsheltered homelessness but addressing this in the city as a whole is certainly part of the solution.,71
1761,This is photo of Maple Grove that is near my town.,My family has been visiting this park for many years. Several family members live near the park so we often take dogs to enjoy the park. This park is surrounded by other downtown businesses and there is always security around. It feels very peaceful and safe to relax in this park.,Someone may like to see more people in the area so they may invite other small business vendors to open in the park area. Some people may want to see more lights in the area to see better when the sun goes down. Some people may want to see more seating available overall.,Fictitious Meadows park,"This is a beautiful park that has lots of room to enjoy with friends and family, but half the time you will see some homeless wandering around f it. They especially can be found on benches for long/overnight periods of time or near the restrooms.","To make the park safer, I would place up some noticeable and conspicuous cameras to be run by the city. I would also have no loitering signs up to make things less comfortable for those there for unintended reasons. I feel for the homeless, but sometimes they are in their situation due to mental health issues that are unsafe foe others.",57
1762,I took the photo of my local city park.,"I go to this Enchanted Grove a couple times a week. I only go there around 3 a.m. though, and it's very quiet and peaceful. There's also never anyone around at that time. When I've gone in the day it's also pretty quiet and scenic. There's a river there with ducks and wetlands and when fall comes, the colors are very vivid; it gives the place even more of a serene atmosphere.","There's lots of children that play there during the day, and the main entrance is right near a busy industrial road. The entrance could either be moved or marked better. I've also seen some people say that some of the playground equipment is rusty and could be updated; I haven't checked that out myself.",I took this photo of the interstate area in my local community,"I feel like safety could be improved on this roadway because the traffic stays so congested and people don't pay attention which causes many accidents. I also feel like safety could be improved because I was in a hit and run accident on this roadway, and the speed limit is set to high for all the traffic and bad drivers.",I would make changes to make it more safe by reducing the set speed limit. I would also modify it by adding more police presence to monitor for traffic issues and reckless drivers.,14
1763,Whispering Peaks,This place makes me feel safe because it is wide open and near nature but nothing dangerous.,Because it is so open and free. There are not many people or animals around,This is from the lake. Enchanted Lake,"Safety could be improved because we always have really sketchy people that go down there. One night we were parked by the dock, and someone started coming to our vehicle and we turned and drove away.",We need more security in these places!! They can be very scary at the wrong time.,86
1764,CHURCH,"THIS IS A CHURCH AND I DO NOT TAKE MY SPIRITUALITY LIGHTLY, I SPEND MY TIME HERE CLEANING, PRAYING AND WORSHIPING GOD AND ALSO ASSISTING PEOPLE. THIS IS MY SAFE SPACE BECAUSE I GET TO SPEAK TO GOD ALL THE TIME","THIS WILL BE AN UNBELIEVER , THERE PERSON MIGHT NOT HAVE THE FULL UNDERSTANDING OF HOW SAFE THIS PLACE IS TO ME AND MIGHT THINK THAT THERE SHOULD BE AN IMPROVEMENT BUT THAT IS NOT NEEDED",A local school.,"Safety could definitely be improved because there are no cameras or speed bumps to deter individuals speeding through the lot. This happens quite often, when school is not in session, as well as when school is in session. It is dangerous for everyone who works there, especially at night. It is also extremely dangerous for students trying to get home.","The lot should be locked. If this is not doable, then there should at least be cameras in the lot as well as speed bumps to deter individuals from breaking the law.",43
1765,The local public library.,"It is always quiet and clean, everyone is always friendly there. If you are feeling stressed or unhappy you can go and pick out a book to read and take your mind off your troubles.","Some of the windows could be covered to make it feel safer. Some of the large open spaces inside could be closed off to make smaller, ""cozier"" rooms.",A bank,I was in the Mystic Vault when it got robbed. They need better security. Not just a guy sitting in a chair outside. There is no real security. Anyone can does walk on off the street.,Have better cameras. Have better security inside.,57
1766,Emerald Bay College,"It was a place for me to study and earn a degree when I was rejected by four years even with good grades. I felt less incompetent after I earned my degree, even if it was an A.S. There offer aid and more than just the basics to students, so I was able to pay for my own schooling.","They might want to have a ""safe space,"" in order to feel comfortable studying. Parking and access to the entrance could made streamlined so it is less crowded. Maybe have it so some areas are not as easily accessible.","Avalon State University Meridale, my Alma Mater.",I was personally stalked by a religious group on campus and I reported it to campus police and they did nothing about it.,I would say that I would first increase security and run background and criminal checks on all of the staff. Then I would improve personal safety amongst the students and see if that improved the odds. I would also make things more accessible for escape.,43
1767,My home,I feel safe when I’m at home because I live in a good neighborhood. Because a lot of my family lives very close by. Everyone around my house is really nice and I can call on anyone if I need something.,I suppose it would be more safe for them if they could bring their pets with them. Maybe if they knew how to lock the door and we’re given permission to do that.,A larger street near my home.,I feel like safety can be improved on this street because cars drive on it very fast. My children have to cross this street to get to school and there have been several occasions of people driving way too fast and not paying attention to pedestrians. It often makes me nervous to cross this street when walking or bike riding with my kids.,I think there's a couple of things we could do. We could add additional speed bumps. I think we could also add crosswalks at a couple of points along the road.,29
1768,This photo is of a park in a city that I visit often.,"The Glimmering Oaks Park is very serene, but also popular. There are always families and young professionals walking dogs and running, which makes me feel safe. I love to go here and watch people play with their dogs or fly kites with their kids. It makes all the stress of the week go away.",I think the safety could be improve by increasing the lighting at night. Also increasing the presence of security. This could be done with either guards or virtual guards through security cameras.,Our local Eldergrove,"This specific Eldergrove is very large and completely surrounded by woods. Although it's huge and spacious and has a lot of fields, it also only has one way in and out. I don't find that to be the safest environment to run away if something was wrong. It feels like you could get trapped.","To make this space more safe I really think they could easily have another entrance that went to the main road. Right now the exit and entrance is off a side road that's isolated and so somebody couldn't even see if you were trying to get away from someone. if they put just one more entrance/exit in, and it went to the main road it would feel less like you could be trapped.",43
1769,Emerald Lake at Crystal State Park.,It's a state park in Alderwood at Emerald Lake. Emerald Lake is a man-made lake built for flood protection for Willowvale.,It could be more safe feeling if brought friends and family with you.,Our local Glimmerwood Park,"It's a wonderful park, but people do not obey leash laws. I often see people letting their dogs off leash, making other dog walkers and people with children uncomfortable",I would like to see stricter leash laws. Fines for rule breakers.,71
1770,Woodland County walking trails,"It's serene and quiet in a place that's always loud. Where I live is a suburb of a major city, so you rarely get to experience quiet. It's fun to be in by yourself or with someone else.",I would add trail cameras. Maybe adding ropes in some places to avoid people wandering off the trail. I'd also maybe have someone patrolling daily.,Our local Eldergrove,"This specific Eldergrove is very large and completely surrounded by woods. Although it's huge and spacious and has a lot of fields, it also only has one way in and out. I don't find that to be the safest environment to run away if something was wrong. It feels like you could get trapped.","To make this space more safe I really think they could easily have another entrance that went to the main road. Right now the exit and entrance is off a side road that's isolated and so somebody couldn't even see if you were trying to get away from someone. if they put just one more entrance/exit in, and it went to the main road it would feel less like you could be trapped.",71
1771,"This is a picture of a local park I’ve visited since I was a kid. It’s less than a mile from my childhood home. This is the children’s area but it has several hiking trails, a bike trail, and dirt bike track.",I have fond memories of my mother taking me here as a child. I also used to ride my bike down here with friends and we’d hang out. There’s almost always people there. Be it for local events or just families having time together.,I suppose you could have police or security stationed there. You could put emergency stations up with healthcare kits or a phone to call for assistance.,Our local Glimmerwood Park,"It's a wonderful park, but people do not obey leash laws. I often see people letting their dogs off leash, making other dog walkers and people with children uncomfortable",I would like to see stricter leash laws. Fines for rule breakers.,71
1772,Neighborhood Haven,The scenery here is very mesmerizing. It's safe because many people would love to walk here everyday. I love to go here also every weekend.,I'll put some cameras in the corner. I noticed that there's no camera in this place.,A major road just up the street from where we live,"My family and I go biking often, and although this road does have a bike lane, the speed limit is 50 mph. Quite often cars are exceeding the 50 miles per hour and I don't feel safe riding my bike in the bike lane and prefer to use the sidewalk",I think lowering the speed limit on the Cobblestone Road would make it more safe,71
1773,CHURCH,"THIS IS A CHURCH AND I DO NOT TAKE MY SPIRITUALITY LIGHTLY, I SPEND MY TIME HERE CLEANING, PRAYING AND WORSHIPING GOD AND ALSO ASSISTING PEOPLE. THIS IS MY SAFE SPACE BECAUSE I GET TO SPEAK TO GOD ALL THE TIME","THIS WILL BE AN UNBELIEVER , THERE PERSON MIGHT NOT HAVE THE FULL UNDERSTANDING OF HOW SAFE THIS PLACE IS TO ME AND MIGHT THINK THAT THERE SHOULD BE AN IMPROVEMENT BUT THAT IS NOT NEEDED",Our old post office in the town I live,This Building is on the main road and it has no Security there have been people that have broken into the home Through the windows and have lived there - there are also people that go there to do drugs,I would tear it down,43
1774,Pride flag,The LGBTQ+ community center in my city is a place where I feel profoundly safe and accepted. One memorable experience that highlights this occurred during a support group meeting.,"To make this space safer for the LGBTQ community, it would be crucial to implement visible symbols of inclusivity, such as pride flags and informative signage affirming a welcoming environment for all gender identities and sexual orientations.",Fictional Library,There are alot of homeless and people with mental issues that come to the library. Safety is sometimes a concern. There is alot of theft that happens at the library. I have had property stolen while visiting.,I would have more security officers present. I would not allow people suffering from mental issues to visit.,57
1775,Local baseball field,"It’s just a fun vibe, where people get together and relax. It’s so peaceful",I’d expect security to do an even better job of checking people before entering the Greenview Stadium,Our nearby local Parkland Grove.,This is a new addition to our playground. The original was burned down by arson. I think adding cameras to this county park can help prevent or deter crimes from happening like that. Also they should have built a sunshade over it for smaller kids to prevent burns.,"I added that to the previous post, high resolution cameras, more patrols, and a sunshade. I have never seen a police car drive through any time we have been.",100
1776,The local public library.,"It is always quiet and clean, everyone is always friendly there. If you are feeling stressed or unhappy you can go and pick out a book to read and take your mind off your troubles.","Some of the windows could be covered to make it feel safer. Some of the large open spaces inside could be closed off to make smaller, ""cozier"" rooms.",Grady memorial hospital in Enchanted Hollow,Having gone to University next to this place this hospital frequently has a lot of homeless people outside who can be a mix of either very kind and nice or are very drugged out or have mental health issues and the police don't do a very good job of corralling them away and if they do it can be towards the University or towards other living areas surrounding it so I think they would do better to have a greater police presence if you're not right outside the building or within 20' of it it seriously seems to feel very unsafe there's a lot of alleyways there's not very much car traffic and that areas where you can cross the road are few and far between so I think they could do better with crosswalks,I feel like I covered this in my last question unfortunately the main ways I would make it more safe is through increased police presence even if it's just patrolling by once an hour as well as adding in better crosswalks so people can safely cross the traffic roads,57
1777,"I searched for this photo online, since I live in Greenvale.","It is the main building that law enforcement use.  It is filed with armed policemen and women that are there to protect and serve, the community, from the scumbags, that other cities tolerate.","Its most likely not safe, if you have a warrant out on you, for criminal activity.  The best way to get rid of this would be to vote for a bunch of Democratic politicians, to cut the budget for the police, and let the criminals rule.",This is a photo I took from a Willowby Station downtown.,The fact that drug addicts that steal things run around there. Along with creepy people and no one does anything about it.,Have police there all the time. To keep people there safe,71
1778,Fictional Park near home,"It’s a pretty serene green space, there aren’t many people there most of the time. Whenever I go I feel like I’ve done something good for myself or whoever is with me. The water view helps.","I would say make sure dogs are always leashed. Im not sure if having a security person there would make anyone feel safer. When I think safer, I think about how it can be more welcoming to people of color. My biggest issue with the park is a feeling of being questioned but not always directly about whether my family is from that neighborhood so I imagine others experience that too.",Our nearby local Parkland Grove.,This is a new addition to our playground. The original was burned down by arson. I think adding cameras to this county park can help prevent or deter crimes from happening like that. Also they should have built a sunshade over it for smaller kids to prevent burns.,"I added that to the previous post, high resolution cameras, more patrols, and a sunshade. I have never seen a police car drive through any time we have been.",57
1779,I got this off the web for a local business.  It's a photo of Hunter Ridge.,They have lots of guns and ammunition!  It's a great place to shop.  I can't think of a safer place than a local gun shop.,"I really wouldn't change a think, but since it looks like I have to, I would post a military guard out front and not let anyone in the building who doesn't accept our right to bear arms.",I took this photo of the interstate area in my local community,"I feel like safety could be improved on this roadway because the traffic stays so congested and people don't pay attention which causes many accidents. I also feel like safety could be improved because I was in a hit and run accident on this roadway, and the speed limit is set to high for all the traffic and bad drivers.",I would make changes to make it more safe by reducing the set speed limit. I would also modify it by adding more police presence to monitor for traffic issues and reckless drivers.,14
1780,A local Maple Grove,There is always people there. It's always open. You can sit back and relax and be yourself.,I would maybe add more seating. When they are busy it's hard to find a seat.,A strip mall with many closed shops where only the Mystic Mall is still in business.,"This strip mall is actually far away from the larger shopping district. The odd location is why I think many of the shops in the building have closed down and are now vacant. As can be seen in the photo, people are only present at one store in the strip mall, Mystic Mall. Geese actually gather in the parking lot because it is so empty and you have to be careful exiting. There are also people frequently sitting in parked cars, or sleeping, in front of the closed businesses. And, with recent mall shootings happening, I'm concerned visiting similar establishments.",I think if they could find more businesses to fill the empty shops it would make that area feel less desolate and unsafe. I think if they routinely patrolled the area there would be less people sleeping in cars. I think if they set up some outdoor seating areas or just improved the landscaping/appearance of the entire shopping center it would feel safer. Part of the reason the area looks so unsafe is because the parking area is empty and large. I think signs stating the area is being patrolled would make the area feel safer. And higher fencing in the back of the stores could separate the area from the Willow Overpass on the other side.,14
1781,The pool in the apartment complex that I live in.,"This pool is enclosed by the entire apartment complex and can only be entered through doors that require you to have security clearance. Whenever I am out late at night and I see a group of thuggish individuals, I will run right into this area because I know that they can't come in.","Make the white bars a complete wall, this prevents people from breaking the wire mesh. Another security issue I would improve is change the security looks to be even more intense because there are ways to bypass it if you watch closely.",Fryer's Grove/apartment/target area,"This area is a super congested area by my house. So the Fryer's Grove there is one of the busiest Fryer's Grove in the north east I heard and it's open 24 seven. They recently built apartments and then there is also a Target there so there's just constantly car is moving around because of the Fryer's Grove in the apartments. I often like to go to the target there but it's very difficult because there's only sidewalks on one side and there's always a lot of cars moving back-and-forth. I think there could be better signs and signals for people, so that walkers can feel safe and also another sidewalk on the other side.",I would suggest definitely putting in another sidewalk so that people feel comfortable walking and also may be making it one way so that cars aren't coming back-and-forth. It's a very small space honestly and there's so much moving around. I would also suggest better lights and just better traffic control. There are a lot of walkers in general because this is technically the city and I don't think this area is the safest for walkers.,14
1782,This is Crestwood Park. It is the park in my housing plan that sits at the top of our neighborhood.,"After a terrible tragedy, Crestwood Park became a gathering place for our families to come together to support each other. We found a lot of healing in being with each other in the following weeks, and it became a place of safety where we could lean on each other.",I would possibly make the park fenced in. Add lighting and security cameras. Improve the paths and make sure they are more physically accessible to everyone.,Neighborhood park,This is a small neighborhood park local to where I live. Later in the evening the park feels more unsafe than during the day - drug use is becoming more common and loud and intimidating individuals are becoming the norm here,"More security, cameras, banning individuals who deal/use drugs",86
1783,Whispering Peaks,This place makes me feel safe because it is wide open and near nature but nothing dangerous.,Because it is so open and free. There are not many people or animals around,This is a bike path in my town,"This bike path has lighting some places, but not others. It can be a little sketchy and scary and places. There are also wild animals that will sometimes cross the path. It would be helpful if there was more lighting.","As I said before, it would be great to have more lighting or along the bike path. It would also be helpful if it avoided heavily wooded areas, but that doesn't seem possible.",57
1784,This picture is taken near my house where I normally walk and take time to reflect.,This barn is located in my neighborhood. There is little traffic and the houses are pretty spread apart. I feel safe here because it is calm and relaxing. I do not have to interact with others when I walk here.,"I think the safety of this place could be improved by adding a sidewalk. Currently, if you walk in this neighborhood, you must walk on the roadway.  Cars sometimes travel at a fast speed and it can make it unsafe to walk here during high traffic times. I think adding some lighting near the roadway would also make it feel more safe.","This is a huge community park, with tennis courts, Open fields, fishing areas as well as a running path","There have been many crime instances in this area, mainly because it is not supervised very well and anybody can come and go even though you're supposed to be from this community",Personally I would have it gated off and those that are in the community would have to pay a yearly fee for a key card to swipe,14
1785,This is a local park downtown with a running trail. At the end of the Trail is a playground that my kids love playing on.,"It's a real open area in the middle of town and the city does a good job and making it feel very inviting. There is a local basketball court nearby for the community to meet up. There is also Evergreen Playground for kids nearby, and a small Moonlight theatre stage for local live performances.","I would add more lighting at night. During the day it has a very safe feel. But I've done morning runs down there and it does feel a little creepy in the dark because it's in these lower area of the city, so no one can really tell what's going. I would also add more paths to get to the local downtown sidewalks a lot quicker and more safely.",Our local Glimmerwood Park,"It's a wonderful park, but people do not obey leash laws. I often see people letting their dogs off leash, making other dog walkers and people with children uncomfortable",I would like to see stricter leash laws. Fines for rule breakers.,43
1786,internet,the security that exists in the Cascadia Grove.,any,"Avalon State University Meridale, my Alma Mater.",I was personally stalked by a religious group on campus and I reported it to campus police and they did nothing about it.,I would say that I would first increase security and run background and criminal checks on all of the staff. Then I would improve personal safety amongst the students and see if that improved the odds. I would also make things more accessible for escape.,57
1787,Its a picture of a tent camping.,This picture is camping in the Woods of Eldoria away from the city noise.  This place has a view of the Mountains of Mythra and fresh air to wake up to.  It is very relaxing and clears your mind.,I would let them know that they have a Camp Ranger of Luminara that is not far away.  I would also bring bear spray to help them feel safer.,This is an apartment complex near the lower economic zone of my community.,This is an area for lower economic families. The area is known as dangerous and not suitable to visit with security escorts. This place could be safer if there was security screening to ensure the space was for residents only.,I would limit the movement to only residents. I would also hire security to monitor the property 24/7.,57
1788,I got this picture from the Internet,The Enchanted Garden of Loria is a garden created by Elira Loria to display her artistry using trees and shrubs as her canvas.  I have relatives nearby so it's like a piece of home everytime I visit.,I wouldn't modify it. I might add some security cameras,This is taken at the main intersection of the Glimmering Town during rush hour.,"Even when it's not during rush hour, this intersection is always busy. I often feel unsafe when crossing this road, as there is a train station and other local businesses that many of us need access to. The most unsafe part is that the pedestrian light is always shared with the left turn signals, so we always feel rushed to cross the road. A simple solution is to prolong the red light for cars, and have the pedestrian use the crossing without being rushed by the cars making turns.","Modifying the traffic lights, to prolong the red light for cars. Pedestrian walk light should not share with left turn signals. This should be in effect all day from 7am to at least 8pm, at least on weekdays, considering how busy this intersection is.",71
1789,The Shoreline Haven near my home,It’s close to my home and people are friendly. It’s very peaceful. It’s not crowded and beautiful.,Hire more lifeguards. Make the promenade more comfortable. A place to sit and eat,Misty Waters in town.,"There are not enough sidewalks, connections to the ground, and lighting. At the park at MW I feel it takes me very long to navigate around or get to the next area people are at. I have lost friends on outings very quickly here due to the large expanse of the park and the few paths.","I would add more lighting, create more walking paths to the road, increase sitting areas, and much more. I believe that a community center would help. Having access to staff at a large park would provide safety.",43
1790,I took a photo of my community library.,"Aside from the fact that this place gives me peace and I am able to get away from anything and everything when I am here, this is where I met my partner. I have so many memories here. It is almost impossible to not feel safe here.",I have met a few people who complained that the library closes early and also that it could use more chairs and desks.,Fictional Library,There are alot of homeless and people with mental issues that come to the library. Safety is sometimes a concern. There is alot of theft that happens at the library. I have had property stolen while visiting.,I would have more security officers present. I would not allow people suffering from mental issues to visit.,43
1791,This is a digital rendering of a bridge and Evergreen Valley area in a town I live in,"This has always been a magical place that you could come and fish, paddle board and jog. Hometowns feel safe because its what you've known all your life.",I would add additional park rangers to patrol and keep everyone safe. I might also add more parking so females wouldn't have to walk so far in the dusk hours.,In my neighborhood the front yard,Having more lighting on the corners as well as the surrounding streets that help feel comfort and security. Making our street not as open for incoming and outgoing traffic at all times of the day,I would start by putting more street lights in as well as a different route for all the incoming and outgoing traffic. Having more signs that they are passing through a Comfortwood neighborhood and not a main road would help tremendously,29
1792,The Enchanted Grove in Eldoria,"In December 1962, the city of Eldoria joined the United States Sister City International initiative by connecting with Fantasia, Wonderland and a wonderful history of sharing resources has grown. In 1996, Fantasia was largely responsible for the major renovations to the Enchanted Grove of Eldoria providing trees, shrubs, paths and the unique stone lanterns. Located behind The Eldoria History Museum in the Olmsted Conservancy’s Mystic Park, the lush gardens and serene lake provide a contemplative refuge for all of Eldoria to enjoy.",I would modify this space to make it more safe for people by putting more trails. I would also add more lamppost lights.,Our local Eldergrove,"This specific Eldergrove is very large and completely surrounded by woods. Although it's huge and spacious and has a lot of fields, it also only has one way in and out. I don't find that to be the safest environment to run away if something was wrong. It feels like you could get trapped.","To make this space more safe I really think they could easily have another entrance that went to the main road. Right now the exit and entrance is off a side road that's isolated and so somebody couldn't even see if you were trying to get away from someone. if they put just one more entrance/exit in, and it went to the main road it would feel less like you could be trapped.",14
1793,It is a church building in Willowbend,It is a church building. I really love this place. I do love her because of the serenity I get any time I visit and the fact that it is not a judgemental place,I believe more people should be made to feel welcome whenever they come around,The campus of a nearby university,"This campus has their own police force but are severely undermanned and under funded. While a prestigious university, most locals know that this isn't the place you want to be at night",I would let Elmwood PD patrol the campus. I would also ask for more flood lights and emergency phones throughout the campus,29
1794,This is a picture of a park called Celebration Grove in my local community.,I grew up in this area and frequently went to this park to play sports since I was 6 years old. I remember playing my first sport in the 1st grade playing soccer in one of the fields here for a local youth soccer league. The place feels very nostalgic and I only have good memories of this place.,I would make the park more safe by having more patrols at night by the local police. I would also just have some security personnel walking around throughout the day since the park usually doesn't have security in the day. I'd also have some more staff hired to oversee the operations of the park since they don't have that many employees.,Our nearby local Parkland Grove.,This is a new addition to our playground. The original was burned down by arson. I think adding cameras to this county park can help prevent or deter crimes from happening like that. Also they should have built a sunshade over it for smaller kids to prevent burns.,"I added that to the previous post, high resolution cameras, more patrols, and a sunshade. I have never seen a police car drive through any time we have been.",57
1795,My safe place is where we always vacation for the summer.,It is safe because everyone there is vetted and checked out before being allowed to vacation there.There is also 24 hour security on premise.,To improve safety there could be a midnight curfew imposed ( not one presently) and also more lighting as some areas are rather dimly lit.,This is a photo of the block up from me.,"This block is 3/4's non-owner occupied airbnbs. One of the airbnbs hosted a party of locals from another neighborhood and there was a shooting. One person died. Beyond that, this block has structures and barely any neighbors. The airbnbs have been targeted for robberies. You walk through at night midweek and there aren't any people. The structures are empty. They are also built perpendicular to the street so when guests are there, they walk down dimly lit paths to get to the entrance. The other part of this is guns. In our small pocket you periodically hear gun shots throughout the year. Most are decently far, sometimes they are closer.","This is complicated because you can't turn back time. In a perfect world, I would bulldoze the 4 houses per lot and put one family home back or I would build density and put the 4 houses parallel to the street (doors facing the street). I would remove the non-owner occupied STR permits. I would make it a space that people want to live. Surrounding the gun shots, I would 100000% enact common sense gun laws. I would get more guns off the street. I would do safe storage laws and confiscation of guns for criminal activity.",71
1796,HOME,THIS PICTURE REPRESENT MY HOME. THINGS AROUND ME THAT I AM FAMILIAR WITH ARE HERE AND THAT MAKES ME COMFORTABLE AND SAFE TO BE IN. IT IS ALSO A PLACE WHERE I CAN FREELY DO AS I PLEASE AND BE HAPPY,"A PERSON WHO WILL FEEL THAT THIS PLACE IS UNSAFE IS ONE WHO HAS NOT STAYED WITH ME IN THAT HOME BEFORE, THAT PERSON MIGHT HAVE DOUBTS ABOUT THES SAFETY OF THE HOME",The main road leading into my neighborhood,This road typically has tons of traffic. Not to mention there's no traffic lights nor stop signs nor speed bumps. There's a elementary school close by! People speed on this road and it's beyond dangerous,I'd add speed bumps and a light. I'd also add a cross walk for pedestrians. I'd have police posted up to write tickets or at least a light that would capture speeding.,43
1797,A community park.,I often go to the Mystic Grove with my family. I feel safe walking and playing at this community park.,My wife also love to visit the Mystic Grove. She also want to have more lights installed in the Mystic Grove that makes her feel safer.,This is in my apartment community it is where all of the garbage and recycling ghost,I feel like safety Could be greatly improved in this area because it is not well lit and And sometimes at night you will find homeless people Better sleeping on furniture that has been discarded or sometimes We come across wildlife such as raccoons and coyotes,I would make it more safe by moving it how we had it before which is not all of the garbage cans can find in one area they were spaced throughout the Enchanted Grove and they didn't look like there was a garbage dump but I would also make sure that the area is well lit and that the dumpsters were large enough to dispose of all of the garbage because sometimes things are just thrown around and people can follow over things or they are sharp Glass in the lot that can cut you or Pierce the tires on your car so they need larger garbage cans do contain all of the garbage and they also need to be well lit and they need to be maintained by staff and cleaned up of all the debris that is left over after the garbage is picked up,57
1798,Gourd Grove in Eldermoor.,I love the orange color. It makes me feel warm and safe. Pumpkins represent the Autumn season which I truly love.,I would add food and flowers.,Fictitious Meadows park,"This is a beautiful park that has lots of room to enjoy with friends and family, but half the time you will see some homeless wandering around f it. They especially can be found on benches for long/overnight periods of time or near the restrooms.","To make the park safer, I would place up some noticeable and conspicuous cameras to be run by the city. I would also have no loitering signs up to make things less comfortable for those there for unintended reasons. I feel for the homeless, but sometimes they are in their situation due to mental health issues that are unsafe foe others.",29
1799,This is the 9/11 memorial in my community in Eldoria. This is some of the twin towers building.,"This is a place to reflect on who was lost that terrible day, September 11, 2001. This place makes me feel safe because I feel I am around all the souls that were in the Twin Towers and they will protect me",There is no way to make it more safe. What I mean is it is in the center of town and it is a sacred place.,Our local Eldergrove,"This specific Eldergrove is very large and completely surrounded by woods. Although it's huge and spacious and has a lot of fields, it also only has one way in and out. I don't find that to be the safest environment to run away if something was wrong. It feels like you could get trapped.","To make this space more safe I really think they could easily have another entrance that went to the main road. Right now the exit and entrance is off a side road that's isolated and so somebody couldn't even see if you were trying to get away from someone. if they put just one more entrance/exit in, and it went to the main road it would feel less like you could be trapped.",57
1800,This is the 9/11 memorial in my community in Eldoria. This is some of the twin towers building.,"This is a place to reflect on who was lost that terrible day, September 11, 2001. This place makes me feel safe because I feel I am around all the souls that were in the Twin Towers and they will protect me",There is no way to make it more safe. What I mean is it is in the center of town and it is a sacred place.,Our local Glimmerwood Park,"It's a wonderful park, but people do not obey leash laws. I often see people letting their dogs off leash, making other dog walkers and people with children uncomfortable",I would like to see stricter leash laws. Fines for rule breakers.,71
1801,couch,It represents how I can unwind and relax and not feel any worry about anything around me or outside of me. It allows me to remind myself of home and the comfort of my family around me. There was a time when I was really scared when I was a little kid about a scary movie I watched and I was able to go on the couch and get comfort from my family about it.,You could add more cushion around the couch because inheritely it can be a hardwood floor. You could also add more cushion on the sides of the couch to make it not as hard. And finally you could add more people to make it have a sense of family around to increase the emotional safety,The campus of a nearby university,"This campus has their own police force but are severely undermanned and under funded. While a prestigious university, most locals know that this isn't the place you want to be at night",I would let Elmwood PD patrol the campus. I would also ask for more flood lights and emergency phones throughout the campus,14
